budget,genres,popularity,revenue,runtime,vote_average,vote_count,director,release_month,release_DOW,log_revenue,log_budget,has_homepage
190.0,1,78.291018,467.365246,132.0,7.4,4418,514,5.0,6.0,6.149248431703516,5.25227342804663,0
195.0,1,43.349855,197.687603,114.0,5.5,2598,152,1.0,2.0,5.2917337570729,5.278114659230517,1
105.0,7,61.196071,351.040419,143.0,7.3,3769,95,10.0,5.0,5.863745995710561,4.663439094112067,0
150.0,2,62.169881,335.154643,116.0,6.2,2317,913,1.0,2.0,5.817571301105839,5.017279836814924,1
180.0,1,56.523205,407.602906,131.0,6.7,4794,466,11.0,3.0,6.012743794448294,5.198497031265826,1
195.0,1,28.529607,1123.746996,154.0,6.1,3299,859,1.0,2.0,7.0253133969019785,5.278114659230517,1
185.0,2,75.674458,786.636033,122.0,5.7,2495,1254,1.0,2.0,6.669036096099358,5.225746673713202,1
175.0,2,51.692953,331.926147,93.0,6.6,1736,1019,1.0,2.0,5.807920684602669,5.170483995038151,1
185.0,3,125.114374,538.983207,93.0,6.7,4641,136,1.0,2.0,6.291538040926614,5.225746673713202,1
185.0,1,65.352913,343.471816,122.0,6.6,2568,716,7.0,3.0,5.84201227578623,5.225746673713202,1
180.0,3,66.390712,521.31186,98.0,7.8,6296,56,1.0,2.0,6.258264842440814,5.198497031265826,1
140.0,1,22.57178,258.022233,91.0,6.1,783,139,8.0,2.0,5.556913899714192,4.948759890378168,0
200.0,1,45.274225,769.653595,158.0,5.6,4903,1131,10.0,5.0,6.64723897947512,5.303304908059076,1
200.0,3,39.744242,325.233863,96.0,6.6,1095,1117,4.0,5.0,5.787614495344649,5.303304908059076,1
176.000003,16,85.36908,183.987723,124.0,5.2,2768,781,4.0,3.0,5.220289460714097,5.176149749522981,1
180.0,1,42.741719,356.743061,109.0,5.5,2430,305,1.0,2.0,5.879815022022036,5.198497031265826,1
180.0,2,67.391328,748.806957,143.0,6.7,2629,46,7.0,1.0,6.619815782733027,5.198497031265826,0
178.0,16,139.272042,543.934787,144.0,6.4,4721,152,1.0,2.0,6.300666130623054,5.187385805840755,1
185.0,7,187.322927,1004.558444,152.0,8.2,12002,206,1.0,2.0,6.9132983318398145,5.225746673713202,1
175.0,3,92.201962,735.099082,96.0,7.7,6870,1000,1.0,2.0,6.601364731950719,5.170483995038151,1
175.0,3,36.167578,381.50987,94.0,6.0,1423,220,1.0,2.0,5.946754456855244,5.170483995038151,1
140.0,1,120.725053,585.174222,126.0,7.4,8776,664,1.0,2.0,6.37361705255723,4.948759890378168,1
170.0,2,32.319043,185.77016,126.0,7.0,2141,837,1.0,2.0,5.229878769993778,5.14166355650266,1
170.0,1,40.748915,222.104681,106.0,5.1,1020,92,1.0,2.0,5.407641082840966,5.14166355650266,0
145.0,2,60.034162,401.128639,112.0,5.2,1387,1088,1.0,0.0,5.996772034943175,4.983606621708336,1
175.0,1,90.23792,745.0,123.0,5.9,7458,268,2.0,0.0,6.61472560020376,5.170483995038151,1
175.0,9,27.082182,173.0,96.0,5.3,1151,1323,9.0,3.0,5.159055299214529,5.170483995038151,1
178.0,1,79.456485,370.541256,113.0,7.6,4858,343,1.0,2.0,5.917659910481849,5.187385805840755,1
175.0,2,44.640292,264.21822,135.0,5.9,992,743,1.0,2.0,5.5805529588175355,5.170483995038151,0
175.0,2,32.852443,302.469017,118.0,5.6,1962,1228,4.0,2.0,5.715279519621241,5.170483995038151,1
175.0,7,128.655964,857.611174,94.0,8.0,6560,1000,9.0,6.0,6.755316169914954,5.170483995038151,1
175.0,8,94.199316,966.5506,106.0,6.7,2892,664,7.0,0.0,6.874767723277955,5.170483995038151,1
200.0,2,77.300194,623.933331,124.0,6.6,6849,664,1.0,2.0,6.43764497364671,5.303304908059076,1
170.0,2,77.178973,396.6,127.0,5.8,3118,1144,1.0,2.0,5.985446474782419,5.14166355650266,1
180.0,9,110.620647,758.539785,97.0,7.0,4496,1114,1.0,2.0,6.632712703810686,5.198497031265826,1
170.0,16,243.791743,710.644566,130.0,7.3,4410,842,1.0,2.0,6.5675785817114685,5.14166355650266,1
175.0,7,41.796339,150.962475,119.0,5.9,1326,160,6.0,2.0,5.023633615367627,5.170483995038151,0
170.0,1,72.225265,714.766572,136.0,7.6,5764,72,1.0,2.0,6.573354097045852,5.14166355650266,1
165.0,4,44.041186,752.600867,93.0,6.0,1959,912,1.0,2.0,6.624862873739199,5.111987788356544,1
190.0,2,130.311355,209.154322,130.0,6.2,2846,130,1.0,2.0,5.347842127501837,5.25227342804663,1
